===========================================
  Quadratic-C Robustness Sweep Results
===========================================

Model: resnet50
eps	clean	qc
 0.50	80.10	 3.81
 0.10	80.10	15.98
 0.15	80.10	14.01
 0.20	80.10	12.38
 0.25	80.10	10.64
 0.30	80.10	 8.53

Model: efficientnet_b3
eps	clean	qc
 0.50	78.55	 3.35
 0.10	78.55	12.54
 0.15	78.55	11.85
 0.20	78.55	10.44
 0.25	78.55	 8.84
 0.30	78.55	 7.52

Model: vit_small_patch16_224
eps	clean	qc
 0.50	74.63	 1.89
 0.10	74.63	 8.56
 0.15	74.63	 7.57
 0.20	74.63	 6.45
 0.25	74.63	 5.54
 0.30	74.63	 4.37

