model,type,eps,clean,qc
resnet50,std,0.10,80.10,15.78
resnet50,std,0.15,80.10,14.08
resnet50,std,0.20,80.10,12.67
resnet50,std,0.25,80.10,10.52
resnet50,std,0.30,80.10,8.52
resnet50,std,0.50,80.10,3.63
efficientnet_b3,std,0.10,78.55,12.72
efficientnet_b3,std,0.15,78.55,11.68
efficientnet_b3,std,0.20,78.55,10.44
efficientnet_b3,std,0.25,78.55,8.87
efficientnet_b3,std,0.30,78.55,7.47
efficientnet_b3,std,0.50,78.55,3.23
vit_small_patch16_224,std,0.10,74.63,8.37
vit_small_patch16_224,std,0.15,74.63,7.43
vit_small_patch16_224,std,0.20,74.63,6.49
vit_small_patch16_224,std,0.25,74.63,5.46
vit_small_patch16_224,std,0.30,74.63,4.14
vit_small_patch16_224,std,0.50,74.63,1.79
Hendrycks2020AugMix,robust,0.10,77.53,11.30
Hendrycks2020AugMix,robust,0.15,77.53,10.22
Hendrycks2020AugMix,robust,0.20,77.53,8.81
Hendrycks2020AugMix,robust,0.25,77.53,7.18
Hendrycks2020AugMix,robust,0.30,77.53,5.94
Hendrycks2020AugMix,robust,0.50,77.53,2.48
Erichson2022NoisyMix_new,robust,0.10,77.05,11.48
Erichson2022NoisyMix_new,robust,0.15,77.05,10.20
Erichson2022NoisyMix_new,robust,0.20,77.05,8.68
Erichson2022NoisyMix_new,robust,0.25,77.05,7.44
Erichson2022NoisyMix_new,robust,0.30,77.05,5.88
Erichson2022NoisyMix_new,robust,0.50,77.05,2.58
