model,eps,clean,qc
resnet50,0.10,76.50,36.74
resnet50,0.15,76.50,35.10
resnet50,0.20,76.50,33.67
resnet50,0.25,76.50,31.73
resnet50,0.30,76.50,29.19
resnet50,0.50,76.50,17.63
efficientnet_b3,0.10,78.93,41.01
efficientnet_b3,0.15,78.93,39.72
efficientnet_b3,0.20,78.93,38.83
efficientnet_b3,0.25,78.93,36.20
efficientnet_b3,0.30,78.93,33.43
efficientnet_b3,0.50,78.93,21.45
vit_small_patch16_224,0.10,85.42,53.08
vit_small_patch16_224,0.15,85.42,51.84
vit_small_patch16_224,0.20,85.42,50.50
vit_small_patch16_224,0.25,85.42,47.77
vit_small_patch16_224,0.30,85.42,44.75
vit_small_patch16_224,0.50,85.42,30.93
